Monarch,Definition,Birth,Reign Began,Reign Ended,Death,Cause of Change,,Items of Note:
Frederik 10.,King,1968,2024,NA,NA,NA,,
Margrethe 2.,Queen,1940,1972,2024,NA,Abdication,,
Frederik 9.,King,1899,1947,1972,1972,Death,,
Christian 10.,King,1870,1912,1947,1947,Death,,
Frederik 8.,King,1843,1906,1912,1912,Death,,
Christian 9.,King,1818,1863,1906,1906,Death,,
Frederik 7.,King,1808,1848,1863,1863,Death,,
Christian 8.,King,1787,1839,1848,1848,Death,,
Frederik 6.,King,1768,1808,1839,1839,Death,,
Christian 7.,King,1749,1766,1808,1808,Death,,
Frederik 5.,King,1723,1746,1766,1766,Death,,
Christian 6.,King,1699,1730,1746,1746,Death,,
Frederik 4.,King,1671,1699,1730,1730,Death,,
Christian 5.,King,1646,1670,1699,1699,Death,,
Frederik 3.,King,1609,1648,1670,1670,Death,,
Christian 4.,King,1577,1588,1648,1648,Death,,Christian the 4th was elected king in 1588 however as he was only 11 years old his actual reign didn't begin properly until 1596.
Frederik 2.,King,1534,1559,1588,1588,Death,,
Christian 3.,King,1503,1536,1559,1559,Death,,
Interregnum,No Regent.,NA,1533,1536,NA,NA,,Interregnum is the official descriptor of a period where there was no reigning monarch. This period was known as Grevens Fejde and is traditionally seen as Denmarks last civil war.
Frederik 1.,King,1471,1523,1533,1533,Death,,
Christian 2.,King,1481,1513,1523,1559,Exile and following Imprisonment.,,
Hans,King,1455,1482,1513,1513,Death,,
Christian 1.,King,1426,1448,1481,1481,Death,,
Christoffer 3. af Bayern,King,1416,1440,1448,1448,Death,,
Erik 7. af Pommern,King,1382,1396,1439,1459,Retirement,,Erik af Pommern led an unpopular reign and was forcibly retired. He went back to Gotland in shame and was replaced by Christoffer af Bayern.
Margrete 1.,Queen,1353,1387,1396,1412,Abdication,,"Though she abdicated the throne, Margrete 1. still was the defacto ruler and ""Husband"" of the realm till her death."
Oluf 2.,King,1370,1375,1387,1387,Death,,
Valdemar 4. Atterdag,King,1320,1340,1375,1375,Death,,
Interregnum,No Regent.,NA,1332,1340,NA,NA,,Interregnum is the official descriptor of a period where there was no reigning monarch. This period was known as Den Kongeløse Tid and was during a period where the land was ruled by the counts of Holsten.
Christoffer 2.,King,1276,1329,1332,1332,Death,,
Valdemar 3.,King,1314,1326,1329,1364,Death,,
Christoffer 2.,King,1276,1319,1326,1332,Exile ,,Your eyes do not deceive you. Christoffer 2. was king twice. 
Erik 6. Menved,King,1274,1286,1319,1319,Death,,
Erik 5. Klipping,King,1249,1259,1286,1286,Death,,
Christoffer 1.,King,1219,1252,1259,1259,Death,,
Abel,King,1218,1250,1252,1252,Death,,
Erik 4. Plovpenning,King,1216,1241,1250,1250,Death,,
Valdemar 2. Sejr,King,1170,1202,1241,1241,Death,,
Knud 4.,King,1163,1182,1202,1202,Death,,
Valdemar 1. den Store,King,1131,1157,1182,1182,Death,,
"Svend 3., Knud 3., Valdemar 1.",Kings,NA,1146,1157,NA,Death,,This period was defined by a bloody battle for the throne. Three kings each had their own claim and followers. As such they are counted as one period.
Erik 3. Lam,King,1110,1136,1146,1146,Abdication,,
Erik 2. Emune,King,1090,1134,1137,1137,Death,,
Niels,King,1064,1104,1134,1134,Death,,
Erik 1. Ejegod,King,1055,1095,1103,1103,Death,,
Oluf 1. Hunger,King,1050,1086,1095,1095,Death,,
Knud 2. den Hellige,King,1042,1080,1086,1086,Death,,
Harald 3. Hen,King,1041,1074,1080,1080,Death,,
Svend 2. Estridsen,King,1019,1047,1074,1076,Death,,"The data about wether he died in 1074 or 1076 is contradictory, however we know he reigned till his death."
Magnus den Gode,King,1024,1042,1047,1047,Death,,
Hardeknud,King,1018,1035,1042,1042,Death,,
Knud 1. den Store,King,995,1018,1035,1035,Death,,
Harald 2.,King,994,1014,1018,1018,Death,,
Svend 1. Tveskæg,King,960,987,1014,1014,Death,,"The remaining monarchs: Svend 1. Tveskæg, Harald 1. Blåtand & Gorm den Gamle have less well documented reigns and the beginning of reigns are based on the loose evidence we have."
Harald 1. Blåtand,King,930,958,987,987,Death,,
Gorm den Gamle,King,900,936,958,958,Death,,His exact birth year is a topic of debate among archeologists. Generally proclaimed to be between the year 900-918.
